bps_model_id,severity,return_interval(years),percent_of_all_fires
10610_15_25,Moderate (Mixed),20.0,61.0
10610_15_25,Low (Surface),111.0,11.0
10610_15_25,All Fires,12.0,100.0
10610_18,Replacement,75.0,37.0
10610_18,Moderate (Mixed),45.0,63.0
10610_18,Low (Surface),,
10610_18,All Fires,28.0,100.0
10610_20_29,Replacement,117.0,46.0
10610_20_29,Moderate (Mixed),101.0,54.0
10610_20_29,Low (Surface),,
10610_20_29,All Fires,54.0,100.0
10610_22_27_28,Replacement,77.0,37.0
10610_22_27_28,Moderate (Mixed),72.0,40.0
10610_22_27_28,Low (Surface),125.0,23.0
10610_22_27_28,All Fires,29.0,100.0
10610_6,Replacement,148.0,24.0
10610_6,Moderate (Mixed),223.0,16.0
10610_6,Low (Surface),60.0,60.0
10610_6,All Fires,36.0,100.0
10610_8_9_17,Replacement,68.0,39.0
10610_8_9_17,Moderate (Mixed),44.0,61.0
10610_8_9_17,Low (Surface),,
10610_8_9_17,All Fires,27.0,100.0
10611_16_23_24,Replacement,44.0,24.0
10611_16_23_24,Moderate (Mixed),14.0,76.0
10611_16_23_24,Low (Surface),,
10611_16_23_24,All Fires,10.0,100.0
10612_16_23,Replacement,71.0,46.0
10612_16_23,Moderate (Mixed),61.0,54.0
10612_16_23,Low (Surface),,
10612_16_23,All Fires,33.0,100.0
10620_10_19_21_29_31,Replacement,289.0,24.0
10620_10_19_21_29_31,Moderate (Mixed),153.0,46.0
10620_10_19_21_29_31,Low (Surface),234.0,30.0
10620_10_19_21_29_31,All Fires,70.0,100.0
10620_13,Replacement,287.0,24.0
10620_13,Moderate (Mixed),149.0,46.0
10620_13,Low (Surface),233.0,30.0
10620_13,All Fires,69.0,100.0
10620_16_23,Replacement,245.0,26.0
10620_16_23,Moderate (Mixed),137.0,46.0
10620_16_23,Low (Surface),227.0,28.0
10620_16_23,All Fires,63.0,100.0
10620_22_28,Replacement,228.0,25.0
10620_22_28,Moderate (Mixed),78.0,75.0
10620_22_28,Low (Surface),,
10620_22_28,All Fires,58.0,100.0
10620_6_12_17_18,Replacement,281.0,24.0
10620_6_12_17_18,Moderate (Mixed),146.0,47.0
10620_6_12_17_18,Low (Surface),232.0,29.0
10620_6_12_17_18,All Fires,68.0,100.0
10620_7_9,Replacement,242.0,32.0
10620_7_9,Moderate (Mixed),212.0,36.0
10620_7_9,Low (Surface),243.0,32.0
10620_7_9,All Fires,77.0,100.0
10630_1,Replacement,453.0,67.0
