bps_model_id,symbol,scientific_name,common_name
10430_5,LIDE3,Lithocarpus densiflorus,Tanoak
10430_5,ARME,Arbutus menziesii,Pacific madrone
10430_5,UMCA,Umbellularia californica,California laurel
10430_5,PILA,Pinus lambertiana,Sugar pine
10430_5,POMU,Polystichum munitum,Western swordfern
10431_2_3_6_7,,,
10431_2_3_6_7,,,
10431_2_3_6_7,,,
10431_2_3_6_7,,,
10431_2_3_6_7,,,
10431_2_3_6_7,,,
10431_2_3_6_7,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10440_3_6_7,TSME,Tsuga mertensiana,Mountain hemlock
10440_3_6_7,PICO,Pinus contorta,Lodgepole pine
10440_3_6_7,ABMA,Abies magnifica,California red fir
10440_3_6_7,PIMO3,Pinus monticola,Western white pine
10440_3_6_7,RIRO,Ribes roezlii,Sierra gooseberry
10440_3_6_7,RIMO2,Ribes montigenum,Gooseberry currant
10450_1_7_8_9,PIPO,Pinus ponderosa,Ponderosa pine
10450_1_7_8_9,ABGR,Abies grandis,Grand fir
10450_1_7_8_9,PSME,Pseudotsuga menziesii,Douglas-fir
10450_1_7_8_9,CAGE2,Carex geyeri,Geyer's sedge
10450_1_7_8_9,CARU,Calamagrostis rubescens,Pinegrass
10450_1_7_8_9,SYAL,Symphoricarpos albus,Common snowberry
10450_1_7_8_9,SPBE2,Spiraea betulifolia,White spirea
10450_21,PIPO,Pinus ponderosa,Ponderosa pine
10450_21,PSME,Pseudotsuga menziesii,Douglas-fir
10450_21,PICO,Pinus contorta,Lodgepole pine
10450_21,CARU,Calamagrostis rubescens,Pinegrass
10450_21,CAGE,Carex geophila,White mountain sedge
10450_21,PHMA5,Physocarpus malvaceus,Mallow ninebark
10450_21,SYAL,Symphoricarpos albus,Common snowberry
10450_21,MARE11,Mahonia repens,Creeping barberry
10451_10_19,PIPO,Pinus ponderosa,Ponderosa pine
10451_10_19,PSME,Pseudotsuga menziesii,Douglas-fir
10451_10_19,PICO,Pinus contorta,Lodgepole pine
10451_10_19,CARU,Calamagrostis rubescens,Pinegrass
10451_10_19,CAGE2,Carex geyeri,Geyer’s sedge
10451_10_19,PHMA5,Physocarpus malvaceus,Mallow ninebark
10451_10_19,ABGR,Abies grandis,Grand fir
10451_10_19,LAOC,Larix occidentalis,Western larch
10451_20,PIPO,Pinus ponderosa,Ponderosa pine
10451_20,PSME,Pseudotsuga menziesii,Douglas-fir
10451_20,JUCO,Juncus compressus,Roundfruit rush
10451_20,SYAL,Symphoricarpos albus,Common snowberry
10451_20,PRVI,Prunus virginiana,Chokecherry
10451_20,JUSC,Juncus scirpoides,Needlepod rush
10451_20,MARE11,Mahonia repens,Creeping barberry
10451_20,PICO,Pinus contorta,Lodgepole pine
10452_10_19,LAOC,Larix occidentalis,Western larch
10452_10_19,PICO,Pinus contorta,Lodgepole pine
10452_10_19,PSME,Pseudotsuga menziesii,Douglas-fir
10452_10_19,ABLA,Abies lasiocarpa,Subalpine fir
10453_10_19,PICO,Pinus contorta,Lodgepole pine
10453_10_19,PSME,Pseudotsuga menziesii,Douglas-fir
10453_10_19,LAOC,Larix occidentalis,Western larch
10453_10_19,ABGR,Abies grandis,Grand fir
10454_20,PICO,Pinus contorta,Lodgepole pine
10454_20,PSME,Pseudotsuga menziesii,Douglas-fir
10454_20,JUCO,Juncus compressus,Roundfruit rush
10454_20,SYAL,Symphoricarpos albus,Common snowberry
10454_20,ARUV,Arctostaphylos uva-ursi,Kinnikinnick
10454_20,CARU,Calamagrostis rubescens,Pinegrass
10454_20,CAGE,Carex geophila,White mountain sedge
10460_1_7_9,PIAL,Pinus albicaulis,Whitebark pine
10460_1_7_9,ABLA,Abies lasiocarpa,Subalpine fir
10460_10_19_20,PIAL,Pinus albicaulis,Whitebark pine
10460_10_19_20,ABLA,Abies lasiocarpa,Subalpine fir
10460_10_19_20,PIEN,Picea engelmannii,Engelmann spruce
10460_10_19_20,LALY,Larix lyallii,Subalpine larch
10460_10_19_20,,,
10460_10_19_20,TSME,Tsuga mertensiana,Mountain hemlock
10460_18,PIAL,Pinus albicaulis,Whitebark pine
10460_18,ABLA,Abies lasiocarpa,Subalpine fir
10460_18,PIEN,Picea engelmannii,Engelmann spruce
10460_18,ARTRV,Artemisia tridentata ssp. vaseyana,Mountain big sagebrush
10460_18,VASC,Vaccinium scoparium,Grouse whortleberry
10460_18,FEID,Festuca idahoensis,Idaho fescue
10460_18,CAGE,Carex geophila,White mountain sedge
10460_21,PIAL,Pinus albicaulis,Whitebark pine
10460_21,ABLA,Abies lasiocarpa,Subalpine fir
10460_21,PIEN,Picea engelmannii,Engelmann spruce
10470_10_19,PIMO3,Pinus monticola,Western white pine
10470_10_19,LAOC,Larix occidentalis,Western larch
10470_10_19,PSME,Pseudotsuga menziesii,Douglas-fir
10470_10_19,ABGR,Abies grandis,Grand fir
10470_10_19,THPL,Thuja plicata,Western red-cedar
10470_10_19,TSHE,Tsuga heterophylla,Western hemlock
10470_8_9,ABGR,Abies grandis,Grand fir
10470_8_9,PSME,Pseudotsuga menziesii,Douglas-fir
10470_8_9,PIPO,Pinus ponderosa,Ponderosa pine
10470_8_9,LAOC,Larix occidentalis,Western larch
10472_10_19,THPL,Thuja plicata,Western red cedar
10472_10_19,ABGR,Abies grandis,Grand fir
10472_10_19,LAOC,Larix occidentalis,Western larch
10480_29,PIPO,Pinus ponderosa,Ponderosa pine
10480_29,PIGL,Picea glauca,White spruce
10490_16_22,PIFL2,Pinus flexilis,Limber pine
10490_16_22,JUSC2,Juniperus scopulorum,Rocky mountain juniper
10490_16_22,JUOS,Juniperus osteosperma,Utah juniper
10490_16_22,ARNO4,Artemisia nova,Black sagebrush
10490_16_22,ARTR2,Artemisia tridentata,Big sagebrush
10490_16_22,BOGR2,Bouteloua gracilis,Blue grama
10490_16_22,PSSP6,Pseudoroegneria spicata,Bluebunch wheatgrass
10490_16_22,FEID,Festuca idahoensis,Idaho fescue
10490_19_20_21_23_28_29,PIFL2,Pinus flexilis,Limber pine
10490_19_20_21_23_28_29,JUSC2,Juniperus scopulorum,Rocky mountain juniper
10490_19_20_21_23_28_29,JUOS,Juniperus osteosperma,Utah juniper
