"BPS_MODEL","Symbol","Scientific.Name","Common.Name"
"16370_68_69_70_71_72_73_74_75_76_77_78_80","CHLA13","Chamerion latifolium","Dwarf fireweed"
"16370_68_69_70_71_72_73_74_75_76_77_78_80","METR3","Menyanthes trifoliata","Buckbean"
"16380_67_68_69_70_71_72_73_76","ALVIC","Alnus viridis ssp. crispa","Mountain alder"
"16380_67_68_69_70_71_72_73_76","SAGL","Salix glauca","Grayleaf willow"
"16380_67_68_69_70_71_72_73_76","SAPU15","Salix pulchra","Tealeaf willow"
"16380_67_68_69_70_71_72_73_76","VAUL","Vaccinium uliginosum","Bog blueberry"
"16380_67_68_69_70_71_72_73_76","VAVI","Vaccinium vitis-idaea","Lingonberry"
"16380_67_68_69_70_71_72_73_76","BENA","Betula nana","Dwarf birch"
"16380_67_68_69_70_71_72_73_76","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"16380_67_68_69_70_71_72_73_76","EMNI","Empetrum nigrum","Black crowberry"
"16390_67_68_69_70_71_72_73_76","SAAL","Salix alaxensis","Feltleaf willow"
"16390_67_68_69_70_71_72_73_76","SAPU15","Salix pulchra","Tealeaf willow"
"16390_67_68_69_70_71_72_73_76","SAGL","Salix glauca","Grayleaf willow"
"16390_67_68_69_70_71_72_73_76","ALVIC","Alnus viridis ssp. crispa","Mountain alder"
"16390_67_68_69_70_71_72_73_76","BENA","Betula nana","Dwarf birch"
"16390_67_68_69_70_71_72_73_76","VAUL","Vaccinium uliginosum","Bog blueberry"
"16390_67_68_69_70_71_72_73_76","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"16390_67_68_69_70_71_72_73_76","EMNI","Empetrum nigrum","Black crowberry"
"16400_73_76_80","SABA3","Salix barclayi","Barclay's willow"
"16400_73_76_80","SAGL","Salix glauca","Grayleaf willow"
"16400_73_76_80","SAPU15","Salix pulchra","Tealeaf willow"
"16400_73_76_80","SAAL","Salix alaxensis","Feltleaf willow"
"16400_73_76_80","SACO2","Salix commutata","Undergreen willow"
"16400_73_76_80","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16430_73_74_75_76_77_78","EMNI","Empetrum nigrum","Black crowberry"
"16430_73_74_75_76_77_78","PHAL4","Phyllodoce aleutica","Aleutian mountainheath"
"16430_73_74_75_76_77_78","HAST3","Harrimanella stelleriana","Alaska bellheather"
"16430_73_74_75_76_77_78","ARAR9","Artemisia arctica","Boreal sagebrush"
"16430_73_74_75_76_77_78","CAMA11","Carex macrochaeta","Longawn sedge"
"16430_73_74_75_76_77_78","LUNO","Lupinus nootkatensis","Nootka lupine"
"16430_73_74_75_76_77_78","VASI","Valeriana sitchensis","Sitka valerian"
"16430_73_74_75_76_77_78","GEER2","Geranium erianthum","Woolly geranium"
"16441_73_75_76_77_78_80","PISI","Picea sitchensis","Sitka spruce"
"16441_73_75_76_77_78_80","OPHO","Oplopanax horridus","Devilsclub"
"16441_73_75_76_77_78_80","VAOV","Vaccinium ovalifolium","Oval-leaf blueberry"
"16441_73_75_76_77_78_80","SARA2","Sambucus racemosa","Red elderberry"
"16441_73_75_76_77_78_80","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16441_73_75_76_77_78_80","RUSP","Rubus spectabilis","Salmonberry"
"16441_73_75_76_77_78_80","HYSP70","Hylocomium splendens","Splendid feather moss"
"16441_73_75_76_77_78_80","RHLO70","Rhytidiadelphus loreus","Loreus goose neck moss"
"16442_77_78","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16442_77_78","POBA2","Populus balsamifera ssp. trichocarpa","Black poplar"
"16442_77_78","PISI","Picea sitchensis","Sitka spruce"
"16442_77_78","SASI2","Salix sitchensis","Sitka willow"
"16442_77_78","CHLA13","Chamerion latifolium","Dwarf fireweed"
"16442_77_78","RUSP","Rubus spectabilis","Salmonberry"
"16442_77_78","EQVA","Equisetum variegatum","Variegated scouringrush"
"16443_73_77_78","PISI","Picea sitchensis","Sitka spruce"
"16443_73_77_78","OPHO","Oplopanax horridus","Devil’s club"
"16443_73_77_78","VAOV","Vaccinium ovalifolium","Oval-leaf blueberry"
"16443_73_77_78","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16443_73_77_78","RUSP","Rubus spectabilis","Salmonberry"
"16443_73_77_78","RUPE","Rubus pedatus","Strawberryleaf raspberry"
"16450_73_74_75_76_77_78_80","CAMA11","Carex macrochaeta","Alaska long-awn sedge"
"16450_73_74_75_76_77_78_80","GEER2","Geranium erianthum","woolly geranium"
"16450_73_74_75_76_77_78_80","SACA14","Sanguisorba canadensis","white burnet"
"16450_73_74_75_76_77_78_80","VASI","Valeriana sitchensis","Sitka valerian"
